Date,Close,Volume,Open,High,Low
2011-10-10 15:58:00,1182.3999999999999,497895,1182.3999999999999,1182.3999999999999,1182.3999999999999
2011-10-10 15:59:00,1183.1,855610,1183.1,1183.1,1183.1
2011-10-10 16:00:00,1182.2,552284,1182.2,1182.2,1182.2
2011-10-11 15:30:00,1189.1,1151623,1189.1,1189.1,1189.1
2011-10-11 15:31:00,1188.771,711927,1188.771,1188.771,1188.771
2011-10-11 15:32:00,1190.1000000000001,905221,1190.1000000000001,1190.1000000000001,1190.1000000000001
2011-10-11 15:33:00,1188.6,669167,1188.6,1188.6,1188.6
2011-10-11 15:34:00,1188.8,788774,1188.8,1188.8,1188.8
2011-10-11 15:35:00,1189.3000000000002,788865,1189.3000000000002,1189.3000000000002,1189.3000000000002
2011-10-11 15:36:00,1190.4,871278,1190.4,1190.4,1190.4
2011-10-11 15:37:00,1189.8,450314,1189.8,1189.8,1189.8
2011-10-11 15:38:00,1189.8999999999999,644152,1189.8999999999999,1189.8999999999999,1189.8999999999999
2011-10-11 15:39:00,1190.1000000000001,590403,1190.1000000000001,1190.1000000000001,1190.1000000000001
2011-10-11 15:40:00,1189.7,933657,1189.7,1189.7,1189.7
2011-10-11 15:41:00,1189.4,419210,1189.4,1189.4,1189.4
2011-10-11 15:42:00,1188.5,830373,1188.5,1188.5,1188.5
2011-10-11 15:43:00,1190.0,769500,1190.0,1190.0,1190.0
2011-10-11 15:44:00,1189.1,574164,1189.1,1189.1,1189.1
2011-10-11 15:45:00,1188.0,1060352,1188.0,1188.0,1188.0
2011-10-11 15:46:00,1189.1,820114,1189.1,1189.1,1189.1
2011-10-11 15:47:00,1192.0,847371,1192.0,1192.0,1192.0
2011-10-11 15:48:00,1191.8000000000002,978959,1191.8000000000002,1191.8000000000002,1191.8000000000002
2011-10-11 15:49:00,1193.1,827069,1193.1,1193.1,1193.1
2011-10-11 15:50:00,1192.8,1327034,1192.8,1192.8,1192.8
2011-10-11 15:51:00,1193.55,1105209,1193.55,1193.55,1193.55
2011-10-11 15:52:00,1192.69,1275178,1192.69,1192.69,1192.69
2011-10-11 15:53:00,1192.0,872570,1192.0,1192.0,1192.0
2011-10-11 15:54:00,1192.3999999999999,447241,1192.3999999999999,1192.3999999999999,1192.3999999999999
2011-10-11 15:55:00,1191.6,359762,1191.6,1191.6,1191.6
2011-10-11 15:56:00,1191.48,490712,1191.48,1191.48,1191.48
2011-10-11 15:57:00,1192.0,701149,1192.0,1192.0,1192.0
2011-10-11 15:58:00,1191.4,277321,1191.4,1191.4,1191.4
2011-10-11 15:59:00,1191.8000000000002,446276,1191.8000000000002,1191.8000000000002,1191.8000000000002
2011-10-11 16:00:00,1191.2,407287,1191.2,1191.2,1191.2
2011-10-12 15:30:00,1206.8000000000002,1452892,1206.8000000000002,1206.8000000000002,1206.8000000000002
2011-10-12 15:31:00,1205.6,2430985,1205.6,1205.6,1205.6
2011-10-12 15:32:00,1205.3,1021339,1205.3,1205.3,1205.3
2011-10-12 15:33:00,1204.7,1180298,1204.7,1204.7,1204.7
2011-10-12 15:34:00,1205.4,747833,1205.4,1205.4,1205.4
2011-10-12 15:35:00,1204.0,1097116,1204.0,1204.0,1204.0
2011-10-12 15:36:00,1204.6,1166641,1204.6,1204.6,1204.6
2011-10-12 15:37:00,1204.107,793899,1204.107,1204.107,1204.107
2011-10-12 15:38:00,1203.9,781849,1203.9,1203.9,1203.9
2011-10-12 15:39:00,1204.6,1193525,1204.6,1204.6,1204.6
2011-10-12 15:40:00,1204.7,1163092,1204.7,1204.7,1204.7
2011-10-12 15:41:00,1206.1,969211,1206.1,1206.1,1206.1
2011-10-12 15:42:00,1207.3,1131490,1207.3,1207.3,1207.3
2011-10-12 15:43:00,1207.6000000000001,769156,1207.6000000000001,1207.6000000000001,1207.6000000000001
2011-10-12 15:44:00,1207.45,1084456,1207.45,1207.45,1207.45
2011-10-12 15:45:00,1207.0,870732,1207.0,1207.0,1207.0
2011-10-12 15:46:00,1206.0,835664,1206.0,1206.0,1206.0
2011-10-12 15:47:00,1204.7,855350,1204.7,1204.7,1204.7
2011-10-12 15:48:00,1203.7,712197,1203.7,1203.7,1203.7
2011-10-12 15:49:00,1204.6,733626,1204.6,1204.6,1204.6
2011-10-12 15:50:00,1205.3,879969,1205.3,1205.3,1205.3
2011-10-12 15:51:00,1205.4,786419,1205.4,1205.4,1205.4
2011-10-12 15:52:00,1204.8999999999999,555287,1204.8999999999999,1204.8999999999999,1204.8999999999999
2011-10-12 15:53:00,1205.2,565671,1205.2,1205.2,1205.2
2011-10-12 15:54:00,1206.9,629032,1206.9,1206.9,1206.9
2011-10-12 15:55:00,1206.4,878434,1206.4,1206.4,1206.4
2011-10-12 15:56:00,1206.979,744156,1206.979,1206.979,1206.979
2011-10-12 15:57:00,1207.5,707215,1207.5,1207.5,1207.5
2011-10-12 15:58:00,1207.2,420701,1207.2,1207.2,1207.2
2011-10-12 15:59:00,1208.3,845485,1208.3,1208.3,1208.3
2011-10-12 16:00:00,1206.5,911461,1206.5,1206.5,1206.5
2011-10-13 15:30:00,1199.5,1558992,1199.5,1199.5,1199.5
2011-10-13 15:31:00,1199.3000000000002,1383572,1199.3000000000002,1199.3000000000002,1199.3000000000002
2011-10-13 15:32:00,1199.5,657303,1199.5,1199.5,1199.5
2011-10-13 15:33:00,1200.5,442649,1200.5,1200.5,1200.5
2011-10-13 15:34:00,1200.2,559661,1200.2,1200.2,1200.2
2011-10-13 15:35:00,1198.9,896162,1198.9,1198.9,1198.9
2011-10-13 15:36:00,1198.0,1699658,1198.0,1198.0,1198.0
2011-10-13 15:37:00,1197.8,1149386,1197.8,1197.8,1197.8
2011-10-13 15:38:00,1198.816,904452,1198.816,1198.816,1198.816
2011-10-13 15:39:00,1197.3999999999999,759128,1197.3999999999999,1197.3999999999999,1197.3999999999999
2011-10-13 15:40:00,1197.3999999999999,942373,1197.3999999999999,1197.3999999999999,1197.3999999999999
2011-10-13 15:41:00,1197.1,939340,1197.1,1197.1,1197.1
2011-10-13 15:42:00,1196.5,1452266,1196.5,1196.5,1196.5
2011-10-13 15:43:00,1197.2,771981,1197.2,1197.2,1197.2
2011-10-13 15:44:00,1196.7,1160539,1196.7,1196.7,1196.7
2011-10-13 15:45:00,1198.0,1083672,1198.0,1198.0,1198.0
2011-10-13 15:46:00,1199.0,935251,1199.0,1199.0,1199.0
2011-10-13 15:47:00,1199.2,1043311,1199.2,1199.2,1199.2
2011-10-13 15:48:00,1199.3000000000002,569913,1199.3000000000002,1199.3000000000002,1199.3000000000002
2011-10-13 15:49:00,1198.8,801392,1198.8,1198.8,1198.8
2011-10-13 15:50:00,1197.3,625601,1197.3,1197.3,1197.3
2011-10-13 15:51:00,1196.8000000000002,941998,1196.8000000000002,1196.8000000000002,1196.8000000000002
2011-10-13 15:52:00,1196.0,717216,1196.0,1196.0,1196.0
2011-10-13 15:53:00,1195.5,774322,1195.5,1195.5,1195.5
2011-10-13 15:54:00,1195.9,718696,1195.9,1195.9,1195.9
2011-10-13 15:55:00,1194.4,1558453,1194.4,1194.4,1194.4
2011-10-13 15:56:00,1194.7,698310,1194.7,1194.7,1194.7
2011-10-13 15:57:00,1195.6999999999998,874103,1195.6999999999998,1195.6999999999998,1195.6999999999998
2011-10-13 15:58:00,1196.2,596502,1196.2,1196.2,1196.2
2011-10-13 15:59:00,1195.5,442486,1195.5,1195.5,1195.5
2011-10-13 16:00:00,1196.6,641006,1196.6,1196.6,1196.6
2011-10-14 15:30:00,1219.4,2313999,1219.4,1219.4,1219.4
2011-10-14 15:31:00,1219.0,904025,1219.0,1219.0,1219.0
2011-10-14 15:32:00,1219.5900000000001,974314,1219.5900000000001,1219.5900000000001,1219.5900000000001
2011-10-14 15:33:00,1220.3,903893,1220.3,1220.3,1220.3
2011-10-14 15:34:00,1221.1,1075778,1221.1,1221.1,1221.1
2011-10-14 15:35:00,1221.2,1472445,1221.2,1221.2,1221.2
2011-10-14 15:36:00,1219.7,899494,1219.7,1219.7,1219.7
2011-10-14 15:37:00,1221.2,1388702,1221.2,1221.2,1221.2
2011-10-14 15:38:00,1221.6,970835,1221.6,1221.6,1221.6
2011-10-14 15:39:00,1221.9,703536,1221.9,1221.9,1221.9
2011-10-14 15:40:00,1221.7,942347,1221.7,1221.7,1221.7
2011-10-14 15:41:00,1221.2,776819,1221.2,1221.2,1221.2
2011-10-14 15:42:00,1220.1000000000001,818263,1220.1000000000001,1220.1000000000001,1220.1000000000001
2011-10-14 15:43:00,1220.6999999999998,671959,1220.6999999999998,1220.6999999999998,1220.6999999999998
2011-10-14 15:44:00,1220.0,602634,1220.0,1220.0,1220.0
2011-10-14 15:45:00,1220.9,740367,1220.9,1220.9,1220.9
2011-10-14 15:46:00,1221.5,563689,1221.5,1221.5,1221.5
2011-10-14 15:47:00,1222.5,888918,1222.5,1222.5,1222.5
2011-10-14 15:48:00,1221.31,762959,1221.31,1221.31,1221.31
2011-10-14 15:49:00,1221.4,437358,1221.4,1221.4,1221.4
2011-10-14 15:50:00,1221.6,758188,1221.6,1221.6,1221.6
2011-10-14 15:51:00,1221.1409999999998,485395,1221.1409999999998,1221.1409999999998,1221.1409999999998
2011-10-14 15:52:00,1220.95,630233,1220.95,1220.95,1220.95
